Date,Price
"Jul 07, 2017",0.25%
"Jul 06, 2017",0.25%
"Jul 05, 2017",0.25%
"Jul 04, 2017",0.25%
"Jul 03, 2017",0.25%
"Jun 30, 2017",0.25%
"Jun 29, 2017",0.25%
"Jun 28, 2017",0.25%
"Jun 27, 2017",0.25%
"Jun 26, 2017",0.25%
"Jun 23, 2017",0.25%
"Jun 22, 2017",0.25%
"Jun 21, 2017",0.25%
"Jun 20, 2017",0.25%
"Jun 19, 2017",0.25%
"Jun 16, 2017",0.25%
"Jun 15, 2017",0.25%
"Jun 14, 2017",0.25%
"Jun 13, 2017",0.25%
"Jun 12, 2017",0.25%
"Jun 09, 2017",0.25%
"Jun 08, 2017",0.25%
"Jun 07, 2017",0.25%
"Jun 06, 2017",0.25%
"Jun 05, 2017",0.25%
"Jun 02, 2017",0.25%
"Jun 01, 2017",0.25%
"May 31, 2017",0.25%
"May 30, 2017",0.25%
"May 29, 2017",0.25%
"May 26, 2017",0.25%
"May 25, 2017",0.25%
"May 24, 2017",0.25%
"May 23, 2017",0.25%
"May 22, 2017",0.25%
"May 19, 2017",0.25%
"May 18, 2017",0.25%
"May 17, 2017",0.25%
"May 16, 2017",0.25%
"May 15, 2017",0.25%
"May 12, 2017",0.25%
"May 11, 2017",0.25%
"May 10, 2017",0.25%
"May 09, 2017",0.25%
"May 08, 2017",0.25%
"May 05, 2017",0.25%
"May 04, 2017",0.25%
"May 03, 2017",0.25%
"May 02, 2017",0.25%
"May 01, 2017",0.25%
"Apr 28, 2017",0.25%
"Apr 27, 2017",0.25%
"Apr 26, 2017",0.25%
"Apr 25, 2017",0.25%
"Apr 24, 2017",0.25%
"Apr 21, 2017",0.25%
"Apr 20, 2017",0.25%
"Apr 19, 2017",0.25%
"Apr 18, 2017",0.25%
"Apr 17, 2017",0.25%
"Apr 14, 2017",0.25%
"Apr 13, 2017",0.25%
"Apr 12, 2017",0.25%
"Apr 11, 2017",0.25%
"Apr 10, 2017",0.25%
"Apr 07, 2017",0.25%
"Apr 06, 2017",0.25%
"Apr 05, 2017",0.25%
"Apr 04, 2017",0.25%
"Apr 03, 2017",0.25%
"Mar 31, 2017",0.25%
"Mar 30, 2017",0.25%
"Mar 29, 2017",0.25%
"Mar 28, 2017",0.25%
"Mar 27, 2017",0.25%
"Mar 24, 2017",0.25%
"Mar 23, 2017",0.25%
"Mar 22, 2017",0.25%
"Mar 21, 2017",0.25%
"Mar 20, 2017",0.25%
"Mar 17, 2017",0.25%
"Mar 16, 2017",0.25%
"Mar 15, 2017",0.25%
"Mar 14, 2017",0.25%
"Mar 13, 2017",0.25%
"Mar 10, 2017",0.25%
"Mar 09, 2017",0.25%
"Mar 08, 2017",0.25%
"Mar 07, 2017",0.25%
"Mar 06, 2017",0.25%
"Mar 03, 2017",0.25%
"Mar 02, 2017",0.25%
"Mar 01, 2017",0.25%
"Feb 28, 2017",0.25%
"Feb 27, 2017",0.25%
"Feb 24, 2017",0.25%
"Feb 23, 2017",0.25%
"Feb 22, 2017",0.25%
"Feb 21, 2017",0.25%
"Feb 20, 2017",0.25%
"Feb 17, 2017",0.25%
"Feb 16, 2017",0.25%
"Feb 15, 2017",0.25%
"Feb 14, 2017",0.25%
"Feb 13, 2017",0.25%
"Feb 10, 2017",0.25%
"Feb 09, 2017",0.25%
"Feb 08, 2017",0.25%
"Feb 07, 2017",0.25%
"Feb 06, 2017",0.25%
"Feb 03, 2017",0.25%
"Feb 02, 2017",0.25%
"Feb 01, 2017",0.25%
"Jan 31, 2017",0.25%
"Jan 30, 2017",0.25%
"Jan 27, 2017",0.25%
"Jan 26, 2017",0.25%
"Jan 25, 2017",0.25%
"Jan 24, 2017",0.25%
"Jan 23, 2017",0.25%
"Jan 20, 2017",0.25%
"Jan 19, 2017",0.25%
"Jan 18, 2017",0.25%
"Jan 17, 2017",0.25%
"Jan 16, 2017",0.25%
"Jan 13, 2017",0.25%
"Jan 12, 2017",0.25%
"Jan 11, 2017",0.25%
"Jan 10, 2017",0.25%
"Jan 09, 2017",0.25%
"Jan 06, 2017",0.25%
"Jan 05, 2017",0.25%
"Jan 04, 2017",0.25%
"Jan 03, 2017",0.25%
"Jan 02, 2017",0.25%
"Dec 30, 2016",0.25%
"Dec 29, 2016",0.25%
"Dec 28, 2016",0.25%
"Dec 27, 2016",0.25%
"Dec 26, 2016",0.25%
"Dec 23, 2016",0.25%
"Dec 22, 2016",0.25%
"Dec 21, 2016",0.25%
"Dec 20, 2016",0.25%
"Dec 19, 2016",0.25%
"Dec 16, 2016",0.25%
"Dec 15, 2016",0.25%
"Dec 14, 2016",0.25%
"Dec 13, 2016",0.25%
"Dec 12, 2016",0.25%
"Dec 09, 2016",0.25%
"Dec 08, 2016",0.25%
"Dec 07, 2016",0.25%
"Dec 06, 2016",0.25%
"Dec 05, 2016",0.25%
"Dec 02, 2016",0.25%
"Dec 01, 2016",0.25%
"Nov 30, 2016",0.25%
"Nov 29, 2016",0.25%
"Nov 28, 2016",0.25%
"Nov 25, 2016",0.25%
"Nov 24, 2016",0.25%
"Nov 23, 2016",0.25%
"Nov 22, 2016",0.25%
"Nov 21, 2016",0.25%
"Nov 18, 2016",0.25%
"Nov 17, 2016",0.25%
"Nov 16, 2016",0.25%
"Nov 15, 2016",0.25%
